,Experiment,Compound A Concentration,Compound B Concentration,Cell Population,Mean Count,Std Count
0,subject_0:compound_0:NA,10000,NA,CD3+ T cells,0.0,NA
1,subject_0:compound_0:NA,10000,NA,CD66b+ Granulocytes,0.0,NA
2,subject_0:compound_0:NA,10000,NA,Erythrocytes,58.0,NA
3,subject_0:compound_0:NA,10000,NA,Lymphocytes,0.0,NA
4,subject_0:compound_0:NA,10000,NA,Neutrophils,0.0,NA
5,subject_0:compound_0:NA,10000,NA,Total Blasts,3.0,NA
6,subject_0:compound_1:NA,10,NA,CD3+ T cells,209.0,18.027756377319943
7,subject_0:compound_1:NA,10,NA,CD66b+ Granulocytes,23.666666666666668,5.773502691896257
8,subject_0:compound_1:NA,10,NA,Erythrocytes,27.0,5.5677643628300215
9,subject_0:compound_1:NA,10,NA,Lymphocytes,379.6666666666667,28.711205710198477
10,subject_0:compound_1:NA,10,NA,Neutrophils,25.0,5.291502622129181
11,subject_0:compound_1:NA,10,NA,Total Blasts,11287.333333333334,250.85919025089223
12,subject_0:compound_1:NA,100,NA,CD3+ T cells,216.66666666666663,13.576941236277534
13,subject_0:compound_1:NA,100,NA,CD66b+ Granulocytes,32.0,3.605551275463989
14,subject_0:compound_1:NA,100,NA,Erythrocytes,36.66666666666666,8.326663997864532
15,subject_0:compound_1:NA,100,NA,Lymphocytes,362.3333333333333,40.72263907623539
16,subject_0:compound_1:NA,100,NA,Neutrophils,34.333333333333336,3.785938897200183
17,subject_0:compound_1:NA,100,NA,Total Blasts,11091.333333333334,552.2991339241203
18,subject_0:compound_1:NA,1000,NA,CD3+ T cells,223.66666666666663,7.767453465154029
19,subject_0:compound_1:NA,1000,NA,CD66b+ Granulocytes,43.0,7.54983443527075
20,subject_0:compound_1:NA,1000,NA,Erythrocytes,40.0,10.392304845413264
21,subject_0:compound_1:NA,1000,NA,Lymphocytes,397.3333333333333,45.61067126598043
22,subject_0:compound_1:NA,1000,NA,Neutrophils,43.333333333333336,7.094598884597588
23,subject_0:compound_1:NA,1000,NA,Total Blasts,6770.0,345.73400179907094
24,subject_0:compound_1:compound_7,1000,225.0,CD3+ T cells,162.0,10.816653826391969
25,subject_0:compound_1:compound_7,1000,225.0,CD66b+ Granulocytes,43.0,4.358898943540674
26,subject_0:compound_1:compound_7,1000,225.0,Erythrocytes,47.333333333333336,9.073771725877467
27,subject_0:compound_1:compound_7,1000,225.0,Lymphocytes,226.33333333333331,18.14754345175493
